"","datum","x"
"267",2017-12-27,38
"268",2017-12-28,93
"269",2017-12-30,40
"270",2018-01-03,10
"271",2018-01-04,60
"272",2018-01-05,76
"273",2018-01-06,10
"274",2018-01-08,30
"275",2018-01-09,10
"276",2018-01-10,61
"277",2018-01-11,6
"278",2018-01-12,14
"279",2018-01-16,39
"280",2018-01-17,26
"281",2018-01-18,60
"282",2018-01-19,118
"283",2018-01-20,15
"284",2018-01-23,17
"285",2018-01-24,69
"286",2018-01-25,79
"287",2018-01-27,52
"288",2018-01-29,115
"289",2018-01-30,81
"290",2018-01-31,88
"291",2018-02-01,7
"292",2018-02-02,6
"293",2018-02-03,19
"294",2018-02-05,67
"295",2018-02-06,44
"296",2018-02-07,135
"297",2018-02-08,19
"298",2018-02-09,22
"299",2018-02-12,67
"300",2018-02-13,69
"301",2018-02-14,17
"302",2018-02-16,5
"303",2018-02-17,14
"304",2018-02-19,5
"305",2018-02-20,95
"306",2018-02-21,28
"307",2018-02-22,78
"308",2018-02-23,33
"309",2018-02-26,137
"310",2018-02-27,34
"311",2018-02-28,73
"312",2018-03-01,25
"313",2018-03-02,52
"314",2018-03-05,83
"315",2018-03-06,10
"316",2018-03-07,6
"317",2018-03-09,5
"318",2018-03-10,8
"319",2018-03-12,28
"320",2018-03-13,20
"321",2018-03-16,19
"322",2018-03-19,8
"323",2018-03-20,18
"324",2018-03-21,3
"325",2018-03-22,19
"326",2018-03-26,53
"327",2018-03-28,10
"328",2018-03-30,6
"329",2018-04-02,39
"330",2018-04-03,122
"331",2018-04-04,3
"332",2018-04-05,163
"333",2018-04-10,52
"334",2018-04-11,10
"335",2018-04-12,12
"336",2018-04-13,12
"337",2018-04-17,5
"338",2018-04-18,23
"339",2018-04-19,3
"340",2018-04-25,49
"341",2018-04-26,68
"342",2018-04-27,16
"343",2018-05-03,12
"344",2018-05-04,15
"345",2018-05-07,13
"346",2018-05-08,12
"347",2018-05-09,21
"348",2018-05-11,13
"349",2018-05-14,7
"350",2018-05-15,3
"351",2018-05-17,59
"352",2018-05-18,33
"353",2018-05-21,20
"354",2018-05-22,35
"355",2018-05-23,4
"356",2018-05-24,45
"357",2018-05-25,90
"358",2018-05-28,84
"359",2018-05-29,65
"360",2018-05-30,31
"361",2018-06-05,25
"362",2018-06-07,55
"363",2018-06-08,26
"364",2018-06-11,64
"365",2018-06-12,29
"366",2018-06-13,89
"367",2018-06-14,43
"368",2018-06-16,50
"369",2018-06-22,26
"370",2018-06-25,25
"371",2018-06-27,6
"372",2018-07-02,16
"373",2018-07-04,20
"374",2018-07-06,18
"375",2018-07-12,34
"376",2018-07-13,14
"377",2018-07-20,23
"378",2018-07-25,54
"379",2018-07-26,77
"380",2018-07-30,58
"381",2018-07-31,7
"382",2018-08-02,14
"383",2018-08-03,18
"384",2018-08-07,25
"385",2018-08-10,20
"386",2018-08-13,22
"387",2018-08-15,15
"388",2018-08-17,18
"389",2018-08-27,12
"390",2018-09-06,3
"391",2018-09-08,29
"392",2018-09-10,25
"393",2018-09-11,4
"394",2018-09-12,30
"395",2018-09-13,8
"396",2018-09-14,20
"397",2018-09-17,23
"398",2018-09-24,5
"399",2018-09-26,4
"400",2018-09-27,10
"401",2018-10-02,8
"402",2018-10-03,63
"403",2018-10-05,40
"404",2018-10-08,17
"405",2018-10-09,10
"406",2018-10-10,15
"407",2018-10-12,18
"408",2018-10-18,47
"409",2018-10-19,6
"410",2018-10-23,14
"411",2018-10-24,13
"412",2018-10-25,4
"413",2018-10-26,32
"414",2018-11-02,35
"415",2018-11-06,79
"416",2018-11-09,14
"417",2018-11-21,8
"418",2018-11-23,4
"419",2018-11-26,21
"420",2018-11-27,9
"421",2018-12-04,13
"422",2018-12-05,36
"423",2018-12-06,8
"424",2018-12-10,4
"425",2018-12-11,37
"426",2018-12-12,3
"427",2018-12-14,24
"428",2018-12-17,50
"429",2018-12-20,8
"430",2018-12-27,27
"431",2018-12-28,2
"432",2018-12-31,10
