"","datum","x"
"267",2017-01-20,14
"268",2017-01-21,14
"269",2017-01-23,44
"270",2017-01-24,128
"271",2017-01-25,37
"272",2017-01-26,16
"273",2017-01-27,35
"274",2017-01-28,39
"275",2017-01-30,79
"276",2017-01-31,61
"277",2017-02-01,27
"278",2017-02-02,12
"279",2017-02-03,46
"280",2017-02-04,3
"281",2017-02-06,49
"282",2017-02-07,66
"283",2017-02-08,42
"284",2017-02-09,122
"285",2017-02-10,132
"286",2017-02-11,12
"287",2017-02-13,152
"288",2017-02-14,270
"289",2017-02-15,38
"290",2017-02-16,25
"291",2017-02-17,122
"292",2017-02-18,5
"293",2017-02-20,12
"294",2017-02-21,25
"295",2017-02-22,60
"296",2017-02-23,26
"297",2017-02-24,24
"298",2017-02-25,35
"299",2017-02-27,7
"300",2017-02-28,22
"301",2017-03-01,25
"302",2017-03-02,22
"303",2017-03-06,36
"304",2017-03-07,59
"305",2017-03-08,3
"306",2017-03-09,58
"307",2017-03-10,60
"308",2017-03-11,19
"309",2017-03-13,36
"310",2017-03-14,81
"311",2017-03-15,104
"312",2017-03-16,18
"313",2017-03-17,52
"314",2017-03-20,47
"315",2017-03-21,21
"316",2017-03-22,29
"317",2017-03-23,9
"318",2017-03-24,9
"319",2017-03-25,25
"320",2017-03-27,23
"321",2017-03-28,9
"322",2017-03-29,61
"323",2017-03-30,33
"324",2017-03-31,9
"325",2017-04-03,91
"326",2017-04-04,7
"327",2017-04-05,83
"328",2017-04-06,78
"329",2017-04-07,31
"330",2017-04-08,28
"331",2017-04-10,79
"332",2017-04-11,105
"333",2017-04-12,190
"334",2017-04-13,85
"335",2017-04-18,130
"336",2017-04-19,28
"337",2017-04-20,26
"338",2017-04-21,5
"339",2017-04-24,48
"340",2017-04-25,25
"341",2017-04-26,35
"342",2017-04-27,28
"343",2017-04-28,21
"344",2017-05-03,50
"345",2017-05-04,88
"346",2017-05-05,82
"347",2017-05-08,19
"348",2017-05-09,40
"349",2017-05-10,61
"350",2017-05-11,80
"351",2017-05-12,108
"352",2017-05-13,35
"353",2017-05-15,241
"354",2017-05-16,20
"355",2017-05-17,10
"356",2017-05-18,9
"357",2017-05-19,29
"358",2017-05-22,10
"359",2017-05-23,6
"360",2017-05-24,10
"361",2017-05-25,48
"362",2017-05-26,37
"363",2017-05-29,29
"364",2017-05-30,10
"365",2017-05-31,12
"366",2017-06-01,46
"367",2017-06-02,63
"368",2017-06-05,5
"369",2017-06-06,3
"370",2017-06-07,81
"371",2017-06-08,48
"372",2017-06-09,26
"373",2017-06-10,31
"374",2017-06-12,20
"375",2017-06-13,97
"376",2017-06-14,153
"377",2017-06-15,120
"378",2017-06-16,40
"379",2017-06-17,7
"380",2017-06-19,18
"381",2017-06-20,17
"382",2017-06-22,30
"383",2017-06-23,16
"384",2017-06-24,23
"385",2017-06-26,20
"386",2017-06-27,3
"387",2017-06-29,23
"388",2017-06-30,2
"389",2017-07-03,26
"390",2017-07-04,15
"391",2017-07-05,23
"392",2017-07-06,39
"393",2017-07-07,52
"394",2017-07-08,4
"395",2017-07-10,51
"396",2017-07-11,14
"397",2017-07-12,36
"398",2017-07-13,147
"399",2017-07-14,61
"400",2017-07-15,6
"401",2017-07-17,192
