"","datum","x"
"267",2016-11-30,143
"268",2016-12-01,77
"269",2016-12-02,77
"270",2016-12-03,67
"271",2016-12-05,78
"272",2016-12-06,112
"273",2016-12-07,88
"274",2016-12-08,83
"275",2016-12-09,56
"276",2016-12-12,114
"277",2016-12-13,125
"278",2016-12-14,74
"279",2016-12-15,93
"280",2016-12-16,57
"281",2016-12-17,33
"282",2016-12-19,93
"283",2016-12-20,75
"284",2016-12-21,281
"285",2016-12-22,71
"286",2016-12-23,130
"287",2016-12-24,16
"288",2016-12-25,9
"289",2016-12-26,41
"290",2016-12-27,141
"291",2016-12-28,72
"292",2016-12-29,152
"293",2016-12-30,220
"294",2016-12-31,96
"295",2017-01-02,22
"296",2017-01-03,92
"297",2017-01-04,364
"298",2017-01-05,529
"299",2017-01-06,149
"300",2017-01-09,243
"301",2017-01-10,501
"302",2017-01-11,389
"303",2017-01-12,286
"304",2017-01-13,168
"305",2017-01-14,101
"306",2017-01-16,198
"307",2017-01-17,301
"308",2017-01-18,133
"309",2017-01-19,114
"310",2017-01-20,252
"311",2017-01-21,64
"312",2017-01-23,291
"313",2017-01-24,235
"314",2017-01-25,274
"315",2017-01-26,177
"316",2017-01-27,162
"317",2017-01-28,47
"318",2017-01-30,360
"319",2017-01-31,264
"320",2017-02-01,330
"321",2017-02-02,159
"322",2017-02-03,383
"323",2017-02-04,54
"324",2017-02-06,207
"325",2017-02-07,229
"326",2017-02-08,283
"327",2017-02-09,205
"328",2017-02-10,252
"329",2017-02-11,92
"330",2017-02-13,257
"331",2017-02-14,272
"332",2017-02-15,47
"333",2017-02-16,143
"334",2017-02-17,450
"335",2017-02-18,37
"336",2017-02-20,170
"337",2017-02-21,178
"338",2017-02-22,146
"339",2017-02-23,107
"340",2017-02-24,179
"341",2017-02-25,84
"342",2017-02-27,125
"343",2017-02-28,131
"344",2017-03-01,135
"345",2017-03-02,193
"346",2017-03-03,251
"347",2017-03-04,15
"348",2017-03-06,88
"349",2017-03-07,164
"350",2017-03-08,247
"351",2017-03-09,236
"352",2017-03-10,195
"353",2017-03-11,4
"354",2017-03-13,165
"355",2017-03-14,192
"356",2017-03-15,102
"357",2017-03-16,399
"358",2017-03-17,104
"359",2017-03-18,11
"360",2017-03-20,87
"361",2017-03-21,228
"362",2017-03-22,101
"363",2017-03-23,52
"364",2017-03-24,298
"365",2017-03-25,60
"366",2017-03-27,102
"367",2017-03-28,113
"368",2017-03-29,134
"369",2017-03-30,149
"370",2017-03-31,110
"371",2017-04-01,4
"372",2017-04-03,127
"373",2017-04-04,258
"374",2017-04-05,151
"375",2017-04-06,159
"376",2017-04-07,130
"377",2017-04-08,22
"378",2017-04-10,93
"379",2017-04-11,208
"380",2017-04-12,76
"381",2017-04-13,120
"382",2017-04-18,48
"383",2017-04-19,92
"384",2017-04-20,255
"385",2017-04-21,68
"386",2017-04-22,32
"387",2017-04-24,181
"388",2017-04-25,134
"389",2017-04-26,132
"390",2017-04-27,106
"391",2017-04-28,85
"392",2017-04-29,19
"393",2017-05-03,75
"394",2017-05-04,65
"395",2017-05-05,142
"396",2017-05-06,5
"397",2017-05-08,44
"398",2017-05-09,146
"399",2017-05-10,57
"400",2017-05-11,124
"401",2017-05-12,185
"402",2017-05-13,10
"403",2017-05-15,173
"404",2017-05-16,29
"405",2017-05-17,33
"406",2017-05-18,60
"407",2017-05-19,26
"408",2017-05-20,10
"409",2017-05-22,183
"410",2017-05-23,195
"411",2017-05-24,87
"412",2017-05-25,101
"413",2017-05-26,93
"414",2017-05-27,17
"415",2017-05-29,98
"416",2017-05-30,179
"417",2017-05-31,76
"418",2017-06-01,125
"419",2017-06-02,125
"420",2017-06-03,10
"421",2017-06-05,90
"422",2017-06-06,91
"423",2017-06-07,76
"424",2017-06-08,112
"425",2017-06-09,127
"426",2017-06-10,13
"427",2017-06-12,58
"428",2017-06-13,42
"429",2017-06-14,113
"430",2017-06-15,111
"431",2017-06-16,100
"432",2017-06-19,100
"433",2017-06-20,101
"434",2017-06-21,41
"435",2017-06-22,87
"436",2017-06-23,59
"437",2017-06-26,124
"438",2017-06-27,50
"439",2017-06-28,35
"440",2017-06-29,86
"441",2017-06-30,57
"442",2017-07-01,23
"443",2017-07-03,117
"444",2017-07-04,48
"445",2017-07-05,160
"446",2017-07-06,36
"447",2017-07-07,112
"448",2017-07-08,5
"449",2017-07-10,137
"450",2017-07-11,124
"451",2017-07-12,64
"452",2017-07-13,37
"453",2017-07-14,110
"454",2017-07-15,204
"455",2017-07-17,90
"456",2017-07-18,100
"457",2017-07-19,68
"458",2017-07-20,66
"459",2017-07-21,48
"460",2017-07-22,105
"461",2017-07-24,91
"462",2017-07-25,114
"463",2017-07-26,72
"464",2017-07-27,57
"465",2017-07-28,117
"466",2017-07-29,106
"467",2017-07-31,49
"468",2017-08-01,9
"469",2017-08-02,46
"470",2017-08-03,120
"471",2017-08-04,83
"472",2017-08-07,39
"473",2017-08-08,37
"474",2017-08-09,119
"475",2017-08-10,114
"476",2017-08-11,20
"477",2017-08-12,25
"478",2017-08-14,116
"479",2017-08-15,129
"480",2017-08-16,24
"481",2017-08-17,60
"482",2017-08-18,66
"483",2017-08-19,5
"484",2017-08-21,44
"485",2017-08-22,84
"486",2017-08-23,84
"487",2017-08-24,46
"488",2017-08-25,111
"489",2017-08-26,23
"490",2017-08-28,128
"491",2017-08-29,96
"492",2017-08-30,123
"493",2017-08-31,40
"494",2017-09-01,90
"495",2017-09-02,39
"496",2017-09-04,155
"497",2017-09-05,244
"498",2017-09-06,155
"499",2017-09-07,57
"500",2017-09-08,34
"501",2017-09-11,60
"502",2017-09-12,57
"503",2017-09-13,131
"504",2017-09-14,146
"505",2017-09-15,131
"506",2017-09-16,32
"507",2017-09-18,53
"508",2017-09-19,118
"509",2017-09-20,377
"510",2017-09-21,41
"511",2017-09-22,89
"512",2017-09-25,121
"513",2017-09-26,69
"514",2017-09-27,144
"515",2017-09-28,90
"516",2017-09-29,143
"517",2017-09-30,25
"518",2017-10-02,96
"519",2017-10-03,66
"520",2017-10-04,79
"521",2017-10-05,166
"522",2017-10-06,62
"523",2017-10-07,15
"524",2017-10-09,31
"525",2017-10-10,83
"526",2017-10-11,149
"527",2017-10-12,93
"528",2017-10-13,87
"529",2017-10-14,12
"530",2017-10-16,89
"531",2017-10-17,108
"532",2017-10-18,92
"533",2017-10-19,74
"534",2017-10-20,176
"535",2017-10-23,65
"536",2017-10-24,119
"537",2017-10-25,41
"538",2017-10-26,105
"539",2017-10-27,161
"540",2017-10-30,35
"541",2017-10-31,37
"542",2017-11-01,171
"543",2017-11-02,67
"544",2017-11-03,83
"545",2017-11-04,10
"546",2017-11-06,79
"547",2017-11-07,106
"548",2017-11-08,155
"549",2017-11-09,72
"550",2017-11-10,145
"551",2017-11-11,9
"552",2017-11-13,94
"553",2017-11-14,147
"554",2017-11-15,146
"555",2017-11-16,126
"556",2017-11-17,128
"557",2017-11-18,6
"558",2017-11-20,97
"559",2017-11-21,54
"560",2017-11-22,66
"561",2017-11-23,176
"562",2017-11-24,90
"563",2017-11-25,42
"564",2017-11-27,89
"565",2017-11-28,99
"566",2017-11-29,173
"567",2017-11-30,263
"568",2017-12-01,54
"569",2017-12-02,20
"570",2017-12-04,197
"571",2017-12-05,175
"572",2017-12-06,229
"573",2017-12-07,83
"574",2017-12-08,333
"575",2017-12-09,213
"576",2017-12-11,183
"577",2017-12-12,437
"578",2017-12-13,138
"579",2017-12-14,225
"580",2017-12-15,157
"581",2017-12-16,42
"582",2017-12-18,138
"583",2017-12-19,197
"584",2017-12-20,168
"585",2017-12-21,157
"586",2017-12-22,288
"587",2017-12-23,22
"588",2017-12-25,203
"589",2017-12-26,181
"590",2017-12-27,137
"591",2017-12-28,124
"592",2017-12-29,171
"593",2017-12-30,58
"594",2018-01-02,94
"595",2018-01-03,380
"596",2018-01-04,356
"597",2018-01-05,286
"598",2018-01-06,20
"599",2018-01-08,369
"600",2018-01-09,362
"601",2018-01-10,448
"602",2018-01-11,569
"603",2018-01-12,525
"604",2018-01-13,159
"605",2018-01-15,354
"606",2018-01-16,270
"607",2018-01-17,296
"608",2018-01-18,345
"609",2018-01-19,289
"610",2018-01-20,40
"611",2018-01-22,242
"612",2018-01-23,285
"613",2018-01-24,177
"614",2018-01-25,289
"615",2018-01-26,387
"616",2018-01-27,117
"617",2018-01-29,474
"618",2018-01-30,408
"619",2018-01-31,254
"620",2018-02-01,199
"621",2018-02-02,293
"622",2018-02-03,79
"623",2018-02-05,400
"624",2018-02-06,456
"625",2018-02-07,309
"626",2018-02-08,289
"627",2018-02-09,302
"628",2018-02-12,322
"629",2018-02-13,180
"630",2018-02-14,197
"631",2018-02-15,110
"632",2018-02-16,98
"633",2018-02-17,61
"634",2018-02-19,302
"635",2018-02-20,166
"636",2018-02-21,79
"637",2018-02-22,195
"638",2018-02-23,139
"639",2018-02-24,92
"640",2018-02-26,219
"641",2018-02-27,355
"642",2018-02-28,88
"643",2018-03-01,184
"644",2018-03-02,54
"645",2018-03-03,13
"646",2018-03-05,57
"647",2018-03-06,191
"648",2018-03-07,208
"649",2018-03-08,108
"650",2018-03-09,137
"651",2018-03-10,3
"652",2018-03-12,261
"653",2018-03-13,109
"654",2018-03-14,126
"655",2018-03-15,146
"656",2018-03-16,123
"657",2018-03-17,9
"658",2018-03-19,139
"659",2018-03-20,198
"660",2018-03-21,151
"661",2018-03-22,231
"662",2018-03-23,206
"663",2018-03-24,7
"664",2018-03-26,238
"665",2018-03-27,87
"666",2018-03-28,160
"667",2018-03-29,125
"668",2018-03-30,170
"669",2018-04-02,70
"670",2018-04-03,168
"671",2018-04-04,70
"672",2018-04-05,154
"673",2018-04-10,191
"674",2018-04-11,175
"675",2018-04-12,153
"676",2018-04-13,227
"677",2018-04-14,91
"678",2018-04-16,179
"679",2018-04-17,127
"680",2018-04-18,64
"681",2018-04-19,86
"682",2018-04-20,137
"683",2018-04-23,49
"684",2018-04-24,76
"685",2018-04-25,70
"686",2018-04-26,71
"687",2018-04-27,68
"688",2018-04-28,35
"689",2018-04-30,74
"690",2018-05-03,52
"691",2018-05-04,59
"692",2018-05-05,28
"693",2018-05-07,28
"694",2018-05-08,114
"695",2018-05-09,177
"696",2018-05-10,83
"697",2018-05-11,71
"698",2018-05-12,21
"699",2018-05-14,114
"700",2018-05-15,86
"701",2018-05-16,66
"702",2018-05-17,217
"703",2018-05-18,206
"704",2018-05-21,164
"705",2018-05-22,67
"706",2018-05-23,52
"707",2018-05-24,187
"708",2018-05-25,32
"709",2018-05-26,40
"710",2018-05-28,56
"711",2018-05-29,108
"712",2018-05-30,130
"713",2018-05-31,59
"714",2018-06-01,103
"715",2018-06-02,30
"716",2018-06-04,98
"717",2018-06-05,32
"718",2018-06-06,69
"719",2018-06-07,108
"720",2018-06-08,145
"721",2018-06-09,140
"722",2018-06-11,123
"723",2018-06-12,250
"724",2018-06-13,116
"725",2018-06-14,187
"726",2018-06-15,124
"727",2018-06-16,18
"728",2018-06-18,94
"729",2018-06-19,42
"730",2018-06-20,108
"731",2018-06-21,193
"732",2018-06-22,62
"733",2018-06-25,100
"734",2018-06-26,58
"735",2018-06-27,67
"736",2018-06-28,53
"737",2018-06-29,42
"738",2018-07-02,59
"739",2018-07-03,86
"740",2018-07-04,165
"741",2018-07-05,232
"742",2018-07-06,56
"743",2018-07-07,19
"744",2018-07-09,20
"745",2018-07-10,80
"746",2018-07-11,71
"747",2018-07-12,187
"748",2018-07-13,87
"749",2018-07-14,14
"750",2018-07-16,176
"751",2018-07-17,238
"752",2018-07-18,54
"753",2018-07-19,209
"754",2018-07-20,66
"755",2018-07-23,54
"756",2018-07-24,66
"757",2018-07-25,31
"758",2018-07-26,185
"759",2018-07-27,106
"760",2018-07-30,87
"761",2018-07-31,70
"762",2018-08-01,113
"763",2018-08-02,126
"764",2018-08-03,86
"765",2018-08-04,56
"766",2018-08-06,205
"767",2018-08-07,126
"768",2018-08-08,150
"769",2018-08-09,156
"770",2018-08-10,165
"771",2018-08-11,27
"772",2018-08-13,198
"773",2018-08-14,68
"774",2018-08-15,110
"775",2018-08-16,110
"776",2018-08-17,132
"777",2018-08-18,31
"778",2018-08-20,39
"779",2018-08-21,136
"780",2018-08-22,49
"781",2018-08-23,120
"782",2018-08-24,99
"783",2018-08-25,20
"784",2018-08-27,101
"785",2018-08-28,135
"786",2018-08-29,99
"787",2018-08-30,40
"788",2018-08-31,71
"789",2018-09-01,25
"790",2018-09-03,51
"791",2018-09-04,277
"792",2018-09-05,92
"793",2018-09-06,63
"794",2018-09-07,24
"795",2018-09-08,5
"796",2018-09-10,82
"797",2018-09-11,35
"798",2018-09-12,96
"799",2018-09-13,117
"800",2018-09-14,70
"801",2018-09-15,2
"802",2018-09-17,42
"803",2018-09-18,73
"804",2018-09-19,57
"805",2018-09-20,38
"806",2018-09-21,57
"807",2018-09-24,109
"808",2018-09-25,111
"809",2018-09-26,31
"810",2018-09-27,21
"811",2018-09-28,67
"812",2018-09-29,5
"813",2018-10-01,77
"814",2018-10-02,102
"815",2018-10-03,89
"816",2018-10-04,99
"817",2018-10-05,174
"818",2018-10-06,54
"819",2018-10-08,83
"820",2018-10-09,74
"821",2018-10-10,83
"822",2018-10-11,26
"823",2018-10-12,141
"824",2018-10-13,43
"825",2018-10-15,85
"826",2018-10-16,46
"827",2018-10-17,73
"828",2018-10-18,33
"829",2018-10-19,76
"830",2018-10-20,18
"831",2018-10-22,67
"832",2018-10-23,80
"833",2018-10-24,73
"834",2018-10-25,98
"835",2018-10-26,88
"836",2018-10-29,48
"837",2018-10-30,98
"838",2018-10-31,70
"839",2018-11-01,81
"840",2018-11-02,99
"841",2018-11-05,24
"842",2018-11-06,57
"843",2018-11-07,138
"844",2018-11-08,115
"845",2018-11-09,51
"846",2018-11-12,14
"847",2018-11-13,141
"848",2018-11-14,83
"849",2018-11-15,94
"850",2018-11-16,129
"851",2018-11-19,21
"852",2018-11-20,145
"853",2018-11-21,137
"854",2018-11-22,112
"855",2018-11-23,59
"856",2018-11-24,28
"857",2018-11-26,38
"858",2018-11-27,123
"859",2018-11-28,123
"860",2018-11-29,51
"861",2018-11-30,110
"862",2018-12-01,38
"863",2018-12-03,198
"864",2018-12-04,179
"865",2018-12-05,89
"866",2018-12-06,89
"867",2018-12-07,179
"868",2018-12-08,11
"869",2018-12-10,141
"870",2018-12-11,126
"871",2018-12-12,134
"872",2018-12-13,233
"873",2018-12-14,159
"874",2018-12-17,143
"875",2018-12-18,160
"876",2018-12-19,107
"877",2018-12-20,101
"878",2018-12-21,55
"879",2018-12-22,38
"880",2018-12-24,111
"881",2018-12-25,159
"882",2018-12-26,187
"883",2018-12-27,170
"884",2018-12-28,295
"885",2018-12-29,55
"886",2018-12-31,416
