"","datum","x"
"267",2017-02-16,27
"268",2017-02-17,33
"269",2017-02-20,20
"270",2017-02-21,41
"271",2017-02-22,100
"272",2017-02-23,14
"273",2017-02-24,12
"274",2017-02-27,47
"275",2017-02-28,32
"276",2017-03-01,8
"277",2017-03-02,24
"278",2017-03-03,50
"279",2017-03-04,5
"280",2017-03-06,204
"281",2017-03-07,142
"282",2017-03-08,92
"283",2017-03-10,18
"284",2017-03-11,4
"285",2017-03-13,123
"286",2017-03-14,21
"287",2017-03-15,41
"288",2017-03-16,16
"289",2017-03-17,61
"290",2017-03-18,45
"291",2017-03-20,14
"292",2017-03-21,89
"293",2017-03-22,22
"294",2017-03-23,12
"295",2017-03-24,61
"296",2017-03-27,113
"297",2017-03-30,32
"298",2017-03-31,37
"299",2017-04-03,34
"300",2017-04-04,74
"301",2017-04-05,48
"302",2017-04-06,12
"303",2017-04-07,27
"304",2017-04-10,79
"305",2017-04-11,35
"306",2017-04-12,5
"307",2017-04-13,40
"308",2017-04-18,49
"309",2017-04-19,55
"310",2017-04-21,22
"311",2017-04-22,4
"312",2017-04-24,16
"313",2017-04-25,7
"314",2017-04-28,35
"315",2017-05-03,39
"316",2017-05-04,8
"317",2017-05-05,37
"318",2017-05-06,15
"319",2017-05-08,9
"320",2017-05-09,51
"321",2017-05-10,24
"322",2017-05-11,36
"323",2017-05-12,30
"324",2017-05-15,5
"325",2017-05-16,29
"326",2017-05-17,31
"327",2017-05-18,2
"328",2017-05-19,6
"329",2017-05-22,15
"330",2017-05-23,4
"331",2017-05-25,40
"332",2017-05-26,30
"333",2017-05-29,8
"334",2017-05-30,24
"335",2017-06-01,25
"336",2017-06-02,13
"337",2017-06-05,12
"338",2017-06-06,8
"339",2017-06-07,5
"340",2017-06-08,17
"341",2017-06-12,16
"342",2017-06-13,7
"343",2017-06-15,70
"344",2017-06-19,3
"345",2017-06-20,10
"346",2017-06-21,14
"347",2017-06-23,8
"348",2017-06-24,5
"349",2017-06-26,39
"350",2017-06-27,5
"351",2017-06-28,78
"352",2017-06-29,15
"353",2017-07-03,14
"354",2017-07-04,8
"355",2017-07-05,47
"356",2017-07-06,13
"357",2017-07-10,6
"358",2017-07-12,38
"359",2017-07-13,4
"360",2017-07-17,6
"361",2017-07-19,6
"362",2017-07-21,31
"363",2017-07-24,49
"364",2017-07-25,19
"365",2017-07-26,26
"366",2017-07-29,7
"367",2017-07-31,80
"368",2017-08-01,5
"369",2017-08-02,23
"370",2017-08-03,58
"371",2017-08-04,4
"372",2017-08-07,3
"373",2017-08-08,20
"374",2017-08-09,7
"375",2017-08-10,54
"376",2017-08-14,49
"377",2017-08-15,29
"378",2017-08-16,17
"379",2017-08-17,19
"380",2017-08-18,8
"381",2017-08-22,14
"382",2017-08-23,8
"383",2017-08-24,39
"384",2017-08-25,6
"385",2017-08-28,18
"386",2017-08-29,10
"387",2017-08-31,2
"388",2017-09-01,14
"389",2017-09-04,84
"390",2017-09-06,12
"391",2017-09-07,8
"392",2017-09-08,39
"393",2017-09-09,15
"394",2017-09-11,13
"395",2017-09-12,7
"396",2017-09-13,22
"397",2017-09-15,74
"398",2017-09-19,8
"399",2017-09-20,12
"400",2017-09-21,37
"401",2017-09-22,10
"402",2017-09-23,4
"403",2017-09-25,13
"404",2017-09-26,41
"405",2017-09-27,126
"406",2017-09-28,4
"407",2017-09-29,17
"408",2017-10-02,61
"409",2017-10-03,8
"410",2017-10-05,113
"411",2017-10-09,17
"412",2017-10-10,51
"413",2017-10-11,42
"414",2017-10-12,72
"415",2017-10-13,50
"416",2017-10-16,7
"417",2017-10-18,21
"418",2017-10-19,19
"419",2017-10-23,74
"420",2017-10-24,39
"421",2017-10-25,27
"422",2017-10-26,134
"423",2017-10-28,12
"424",2017-10-31,29
"425",2017-11-01,27
"426",2017-11-02,12
"427",2017-11-03,6
"428",2017-11-06,17
"429",2017-11-07,39
"430",2017-11-08,5
"431",2017-11-10,31
"432",2017-11-13,59
"433",2017-11-14,25
"434",2017-11-16,3
"435",2017-11-17,9
"436",2017-11-20,24
"437",2017-11-21,10
"438",2017-11-22,9
"439",2017-11-23,97
"440",2017-11-24,10
"441",2017-11-27,9
"442",2017-11-28,53
"443",2017-11-29,25
"444",2017-11-30,5
"445",2017-12-01,17
"446",2017-12-05,12
"447",2017-12-06,14
"448",2017-12-08,53
"449",2017-12-11,16
"450",2017-12-13,4
"451",2017-12-14,22
"452",2017-12-15,4
"453",2017-12-18,10
"454",2017-12-19,3
"455",2017-12-20,2
"456",2017-12-21,33
"457",2017-12-22,47
"458",2017-12-25,28
"459",2017-12-26,44
"460",2017-12-27,36
"461",2017-12-28,15
"462",2017-12-29,76
"463",2017-12-30,85
"464",2018-01-02,205
"465",2018-01-03,89
"466",2018-01-04,51
"467",2018-01-05,14
"468",2018-01-06,16
"469",2018-01-08,10
"470",2018-01-09,32
"471",2018-01-10,40
"472",2018-01-11,40
"473",2018-01-12,39
"474",2018-01-13,55
"475",2018-01-15,2
"476",2018-01-16,50
"477",2018-01-17,19
"478",2018-01-18,57
"479",2018-01-19,70
"480",2018-01-22,42
"481",2018-01-23,17
"482",2018-01-24,36
"483",2018-01-25,25
"484",2018-01-26,15
"485",2018-01-27,20
"486",2018-01-29,11
"487",2018-01-30,18
"488",2018-01-31,28
"489",2018-02-02,44
"490",2018-02-03,45
"491",2018-02-05,26
"492",2018-02-06,21
"493",2018-02-07,10
"494",2018-02-08,61
"495",2018-02-09,36
"496",2018-02-12,23
"497",2018-02-13,29
"498",2018-02-14,58
"499",2018-02-16,27
"500",2018-02-20,48
"501",2018-02-22,15
"502",2018-02-23,29
"503",2018-02-26,25
"504",2018-02-27,77
"505",2018-02-28,14
"506",2018-03-01,29
"507",2018-03-02,67
"508",2018-03-05,63
"509",2018-03-06,94
"510",2018-03-07,106
"511",2018-03-08,71
"512",2018-03-09,13
"513",2018-03-10,26
"514",2018-03-12,36
"515",2018-03-13,54
"516",2018-03-14,42
"517",2018-03-15,20
"518",2018-03-16,34
"519",2018-03-19,45
"520",2018-03-20,43
"521",2018-03-21,9
"522",2018-03-23,6
"523",2018-03-26,23
"524",2018-03-28,49
"525",2018-03-29,8
"526",2018-03-30,16
"527",2018-04-02,20
"528",2018-04-03,29
"529",2018-04-04,9
"530",2018-04-05,4
"531",2018-04-11,21
"532",2018-04-12,145
"533",2018-04-13,10
"534",2018-04-16,87
"535",2018-04-17,2
"536",2018-04-19,13
"537",2018-04-20,42
"538",2018-04-23,9
"539",2018-04-24,55
"540",2018-04-27,31
"541",2018-05-03,5
"542",2018-05-04,63
"543",2018-05-07,33
"544",2018-05-08,2
"545",2018-05-09,27
"546",2018-05-10,53
"547",2018-05-11,131
"548",2018-05-12,15
"549",2018-05-14,102
"550",2018-05-15,24
"551",2018-05-16,20
"552",2018-05-17,36
"553",2018-05-18,4
"554",2018-05-21,23
"555",2018-05-22,3
"556",2018-05-23,7
"557",2018-05-24,11
"558",2018-05-25,7
"559",2018-05-29,52
"560",2018-05-30,15
"561",2018-06-01,34
"562",2018-06-02,7
"563",2018-06-04,5
"564",2018-06-05,14
"565",2018-06-06,12
"566",2018-06-08,12
"567",2018-06-11,8
"568",2018-06-12,68
"569",2018-06-13,37
"570",2018-06-14,3
"571",2018-06-15,43
"572",2018-06-19,14
"573",2018-06-20,47
"574",2018-06-21,29
"575",2018-06-22,50
"576",2018-06-26,23
"577",2018-06-27,33
"578",2018-06-28,2
"579",2018-06-29,23
"580",2018-06-30,4
"581",2018-07-02,6
"582",2018-07-03,7
"583",2018-07-04,12
"584",2018-07-05,12
"585",2018-07-06,20
"586",2018-07-07,15
"587",2018-07-09,8
"588",2018-07-11,10
"589",2018-07-12,38
"590",2018-07-13,22
"591",2018-07-14,16
"592",2018-07-16,31
"593",2018-07-17,16
"594",2018-07-18,17
"595",2018-07-19,39
"596",2018-07-20,35
"597",2018-07-24,15
"598",2018-07-25,4
"599",2018-07-26,13
"600",2018-07-28,15
"601",2018-07-30,8
"602",2018-07-31,5
"603",2018-08-01,29
"604",2018-08-02,15
"605",2018-08-06,14
"606",2018-08-07,54
"607",2018-08-08,19
"608",2018-08-09,66
"609",2018-08-10,16
"610",2018-08-13,20
"611",2018-08-14,16
"612",2018-08-15,44
"613",2018-08-16,78
"614",2018-08-17,100
"615",2018-08-20,41
"616",2018-08-22,92
"617",2018-08-23,10
"618",2018-08-24,14
"619",2018-08-27,4
"620",2018-08-28,11
"621",2018-08-29,7
"622",2018-08-30,7
"623",2018-09-03,40
"624",2018-09-04,20
"625",2018-09-05,7
"626",2018-09-06,19
"627",2018-09-07,19
"628",2018-09-10,18
"629",2018-09-11,16
"630",2018-09-12,5
"631",2018-09-13,39
"632",2018-09-14,34
"633",2018-09-17,86
"634",2018-09-18,20
"635",2018-09-19,28
"636",2018-09-25,70
"637",2018-09-27,43
"638",2018-09-28,23
"639",2018-10-02,16
"640",2018-10-04,9
"641",2018-10-08,4
"642",2018-10-09,18
"643",2018-10-10,28
"644",2018-10-11,26
"645",2018-10-12,6
"646",2018-10-15,10
"647",2018-10-17,33
"648",2018-10-19,7
"649",2018-10-22,21
"650",2018-10-24,19
"651",2018-10-25,28
"652",2018-10-26,35
"653",2018-10-29,15
"654",2018-10-30,27
"655",2018-10-31,8
"656",2018-11-01,14
"657",2018-11-02,12
"658",2018-11-03,23
"659",2018-11-05,27
"660",2018-11-07,40
"661",2018-11-08,22
"662",2018-11-09,8
"663",2018-11-12,210
"664",2018-11-13,58
"665",2018-11-14,41
"666",2018-11-15,44
"667",2018-11-16,20
"668",2018-11-19,30
"669",2018-11-20,11
"670",2018-11-21,16
"671",2018-11-22,26
"672",2018-11-26,20
"673",2018-11-27,11
"674",2018-11-28,16
"675",2018-11-30,4
"676",2018-12-03,100
"677",2018-12-04,80
"678",2018-12-05,41
"679",2018-12-06,51
"680",2018-12-07,18
"681",2018-12-08,18
"682",2018-12-10,23
"683",2018-12-11,16
"684",2018-12-12,18
"685",2018-12-13,25
"686",2018-12-14,39
"687",2018-12-15,16
"688",2018-12-17,19
"689",2018-12-18,9
"690",2018-12-19,51
"691",2018-12-20,66
"692",2018-12-21,3
"693",2018-12-22,27
"694",2018-12-24,5
"695",2018-12-25,19
"696",2018-12-26,6
"697",2018-12-27,50
"698",2018-12-28,88
"699",2018-12-31,7
